accuracy,precision,recall,f1,n_classes,n_features,n_char_features,n_obs_train,n_obs_test,signal_train,signal_test,diff_train,diff_test,noise_train,noise_test,classifier,n_hidden_GNN,n_hidden_FC
0.7728,0.778774360863313,0.7728,0.774029595044725,5,125,10,500,500,10,5,0.3,0.3,0.4,0.4,GraphSAGE,16,0
0.7728,0.77284388823318,0.7728,0.772487128206287,5,50,10,500,500,10,5,0.3,0.3,0.4,0.4,Chebnet,16,0
0.7716,0.778247680073437,0.7716,0.773690784176961,5,125,5,500,500,10,5,0.3,0.3,0.4,0.4,Chebnet,8,0
0.7712,0.771097106187202,0.7712,0.771080353810884,5,125,50,500,500,10,5,0.3,0.3,0.4,0.4,MLP,0,0
0.77,0.775116801355744,0.77,0.770395003206596,5,125,10,500,500,10,5,0.3,0.3,0.4,0.4,MLP,0,32
0.7696,0.779481456035891,0.7696,0.769615867492177,5,50,5,500,500,10,5,0.3,0.3,0.4,0.4,GraphSAGE,4,0
0.768,0.768678239186936,0.768,0.768059772715642,5,50,5,500,500,10,5,0.3,0.3,0.4,0.4,MLP,0,0
0.7624,0.765336964598864,0.7624,0.763061079541147,5,125,10,500,500,10,5,0.3,0.3,0.4,0.4,GraphSAGE,8,0
0.7596,0.763112913979394,0.7596,0.759893127798073,5,50,5,500,500,10,5,0.3,0.3,0.4,0.4,MLP,0,32
0.756,0.756057110571658,0.756,0.75595101468849,5,50,10,500,500,10,5,0.3,0.3,0.4,0.4,MLP,0,32
0.7508,0.752201862409044,0.7508,0.750893410400667,5,125,10,500,500,10,5,0.3,0.3,0.4,0.4,Chebnet,4,0
0.75,0.750134679758454,0.75,0.749754669390784,5,50,5,500,500,10,5,0.3,0.3,0.4,0.4,Chebnet,4,0
0.7496,0.750099145944363,0.7496,0.749185034407054,5,125,10,500,500,10,5,0.3,0.3,0.4,0.4,MLP,0,32
0.74,0.741862901742197,0.74,0.740110756655283,5,50,10,500,500,10,5,0.3,0.3,0.4,0.4,GraphSAGE,4,0
0.7372,0.736745853954678,0.7372,0.736824295850415,5,125,5,500,500,10,5,0.3,0.3,0.4,0.4,Chebnet,16,0
0.736,0.736529742509766,0.736,0.736083038558661,5,125,5,500,500,10,5,0.3,0.3,0.4,0.4,MLP,0,16
0.7348,0.740161012543441,0.7348,0.736468770296941,5,125,5,500,500,10,5,0.3,0.3,0.4,0.4,GraphSAGE,16,0
0.718,0.718501482560208,0.718,0.717614259979923,5,50,5,500,500,10,5,0.3,0.3,0.4,0.4,GraphSAGE,16,0
0.7116,0.713060992324152,0.7116,0.711668114264803,5,125,10,500,500,10,5,0.3,0.3,0.4,0.4,MLP,0,16
0.7096,0.713642900604553,0.7096,0.708983965206478,5,125,5,500,500,10,5,0.3,0.3,0.4,0.4,MLP,0,32
0.7084,0.708919081390093,0.7084,0.708463677873349,5,125,50,500,500,10,5,0.3,0.3,0.4,0.4,Chebnet,8,0
0.7076,0.707318361529263,0.7076,0.707224215406032,5,125,50,500,500,10,5,0.3,0.3,0.4,0.4,MLP,0,16
0.7032,0.703361395640134,0.7032,0.702350510742339,5,125,50,500,500,10,5,0.3,0.3,0.4,0.4,GraphSAGE,8,0
0.7008,0.720967042637417,0.7008,0.70068946940535,5,50,10,500,500,10,5,0.3,0.3,0.4,0.4,MLP,0,16
0.6988,0.701195342133431,0.6988,0.699153067068574,5,125,5,500,500,10,5,0.3,0.3,0.4,0.4,MLP,0,32
0.6984,0.700485897331174,0.6984,0.698131154292094,5,125,50,500,500,10,5,0.3,0.3,0.4,0.4,GraphSAGE,16,0
0.694,0.695151043870628,0.694,0.694302296918842,5,125,50,500,500,10,5,0.3,0.3,0.4,0.4,Chebnet,16,0
0.6924,0.696239301722356,0.6924,0.692588183185298,5,125,50,500,500,10,5,0.3,0.3,0.4,0.4,Chebnet,4,0
0.6904,0.691315870102537,0.6904,0.690422348279514,5,125,50,500,500,10,5,0.3,0.3,0.4,0.4,MLP,0,32
0.6884,0.694724146563144,0.6884,0.689240930746309,5,125,5,500,500,10,5,0.3,0.3,0.4,0.4,Chebnet,4,0
0.6776,0.679354759526564,0.6776,0.677697621714983,5,125,50,500,500,10,5,0.3,0.3,0.4,0.4,GraphSAGE,4,0
