accuracy,precision,recall,f1,n_classes,n_features,n_char_features,n_obs_train,n_obs_test,signal_train,signal_test,diff_train,diff_test,noise_train,noise_test,classifier,n_hidden_GNN,n_hidden_FC
0.1644,0.171967494540754,0.1644,0.164847249281048,5,50,5,500,500,10,2,0.3,0.3,0.4,0.4,Chebnet,4,0
0.1628,0.16622229694029,0.1628,0.159407031953734,5,50,10,500,500,10,2,0.3,0.3,0.4,0.4,GraphSAGE,8,0
0.1624,0.157657920514425,0.1624,0.157897924338468,5,125,50,500,500,10,2,0.3,0.3,0.4,0.4,GraphSAGE,8,0
0.1624,0.165251891431754,0.1624,0.161412997538318,5,50,5,500,500,10,2,0.3,0.3,0.4,0.4,Chebnet,8,0
0.1572,0.154854175446984,0.1572,0.150047567508316,5,50,10,500,500,10,2,0.3,0.3,0.4,0.4,Chebnet,16,0
0.1508,0.146946715560048,0.1508,0.14721372712939,5,50,10,500,500,10,2,0.3,0.3,0.4,0.4,Chebnet,8,0
0.1456,0.146960581752218,0.1456,0.144083599037367,5,50,10,500,500,10,2,0.3,0.3,0.4,0.4,GraphSAGE,16,0
0.1444,0.137393280262335,0.1444,0.138453521001246,5,125,50,500,500,10,2,0.3,0.3,0.4,0.4,Chebnet,4,0
0.144,0.141983120080754,0.144,0.13962246028427,5,125,50,500,500,10,2,0.3,0.3,0.4,0.4,Chebnet,8,0
0.1312,0.133423858065702,0.1312,0.129497247017869,5,125,50,500,500,10,2,0.3,0.3,0.4,0.4,GraphSAGE,4,0
0.1288,0.12731537085058,0.1288,0.125236381905824,5,50,10,500,500,10,2,0.3,0.3,0.4,0.4,GraphSAGE,4,0
0.0888,0.0897829598448741,0.0888,0.0886125892843167,5,125,50,500,500,10,2,0.3,0.3,0.4,0.4,Chebnet,16,0
